Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h),Apparent Temperature (C)
11.43888889,1013.56,0.77,13.8782,11.43888889
13.03333333,1012.85,0.81,14.4578,13.03333333
17.24444444,1012.15,0.62,25.0194,17.24444444
17.73888889,1011.71,0.53,27.37,17.73888889
17.84444444,1011.28,0.56,22.218,17.84444444
18.86111111,1010.99,0.56,23.5382,18.86111111
18.66666667,1010.93,0.56,19.8996,18.66666667
17.82222222,1010.7,0.56,17.5007,17.82222222
17.8,1010.52,0.59,17.6939,17.8
17.35,1010.69,0.57,19.5615,17.35
16.06666667,1010.86,0.67,21.8155,16.06666667
14.93333333,1011.14,0.73,17.2753,14.93333333
13.92222222,1011.64,0.78,11.7691,13.92222222
12.75555556,1012.02,0.84,11.0446,12.75555556
12.75555556,1012.21,0.84,11.0607,12.75555556
12.37222222,1012.33,0.86,7.2933,12.37222222
11.18333333,1012.6,0.93,6.923,11.18333333
11.66666667,1012.8,0.9,11.1734,11.66666667
8.977777778,1012.66,0.95,10.3201,7.366666667
10.57777778,1012.32,0.93,11.1734,10.57777778
10.53333333,1012.33,0.89,14.007,10.53333333
10.58888889,1012.55,0.87,7.2933,10.58888889
9.983333333,1012.71,0.89,6.7298,9.283333333
11.02222222,1013.01,0.86,7.889,11.02222222
13.53888889,1013.23,0.75,11.8657,13.53888889
13.88888889,1013.31,0.68,20.0123,13.88888889
15,1013.4,0.67,17.5812,15
17.18333333,1013.27,0.57,15.9551,17.18333333
16.2,1013.02,0.62,16.3093,16.2
17.75,1013.03,0.56,17.7744,17.75
18.40555556,1012.55,0.54,19.0785,18.40555556
17.82222222,1012.03,0.59,17.5973,17.82222222
17.31111111,1011.81,0.57,20.3343,17.31111111
17.50555556,1011.33,0.55,13.7172,17.50555556
17.26666667,1011.2,0.54,14.3773,17.26666667
15.13888889,1011.5,0.61,10.8997,15.13888889
13.25,1011.76,0.69,4.7173,13.25
12.29444444,1012.01,0.72,4.669,12.29444444
10.7,1012.31,0.79,3.5742,10.7
9.855555556,1012.51,0.85,5.7477,9.388888889
9.522222222,1012.52,0.88,11.27,7.861111111
8.405555556,1012.61,0.92,3.1234,8.405555556
13.01111111,1011.27,0.82,9.6278,13.01111111
7.733333333,1012.54,0.96,3.4293,7.733333333
6.138888889,1012.44,0.96,3.3488,6.138888889
6.472222222,1012.62,0.95,2.9946,6.472222222
6.627777778,1012.75,0.96,3.3005,6.627777778
8.688888889,1012.96,0.93,1.4329,8.688888889
11.99444444,1013.38,0.81,2.415,11.99444444
13.76666667,1013.14,0.78,4.1538,13.76666667
15.08888889,1013.33,0.77,7.3738,15.08888889
16.45555556,1013.56,0.68,7.8085,16.45555556
17.31111111,1013.61,0.62,7.3738,17.31111111
17.87222222,1013.11,0.64,8.372,17.87222222
19.03888889,1012.69,0.47,7.0679,19.03888889
18.97777778,1012.2,0.51,10.8675,18.97777778
19.00555556,1011.7,0.55,4.8139,19.00555556
19.01111111,1011.4,0.53,4.7978,19.01111111
17.86666667,1011.32,0.64,10.9319,17.86666667
17.26666667,1011.23,0.62,10.8514,17.26666667
16.18888889,1011.5,0.61,5.0876,16.18888889
14.88333333,1012.05,0.72,9.177,14.88333333
14.32777778,1012.15,0.75,10.9319,14.32777778
14.51111111,1012.09,0.75,6.3756,14.51111111
14.37222222,1011.83,0.75,6.5366,14.37222222
14.87777778,1011.45,0.72,14.2163,14.87777778
10.40555556,1012.05,0.92,3.6064,10.40555556
12.82222222,1011.18,0.83,8.4364,12.82222222
12.8,1010.07,0.85,14.4256,12.8
12.82777778,1009.83,0.86,13.8943,12.82777778
12.26666667,1009.8,0.85,15.778,12.26666667
12.26666667,1009.99,0.85,15.5848,12.26666667
12.18333333,1010.21,0.82,12.3809,12.18333333
12.17222222,1010.41,0.8,20.3826,12.17222222
12.71111111,1010.33,0.83,22.0892,12.71111111
15.60555556,1010.43,0.78,22.3468,15.60555556
16.02222222,1010.29,0.78,18.0642,16.02222222
17.2,1010.1,0.67,17.6456,17.2
17.21666667,1009.96,0.71,14.0875,17.21666667
17.82777778,1009.86,0.69,13.4113,17.82777778
17.82777778,1009.47,0.69,14.6188,17.82777778
17.73333333,1009.63,0.69,9.2414,17.73333333
16.27222222,1009.39,0.71,23.0713,16.27222222
13.16666667,1011.07,0.93,3.7674,13.16666667
13.25555556,1011.23,0.93,3.1395,13.25555556
13.01111111,1011.35,0.93,10.3362,13.01111111
12.45555556,1011.67,0.91,5.796,12.45555556
12.48888889,1011.76,0.9,9.8854,12.48888889
9.555555556,1015.68,0.8,6.4883,8.85
10.62222222,1015.41,0.79,14.0231,10.62222222
8.722222222,1014.98,0.93,4.5724,8.722222222
10.53333333,1015.18,0.77,10.7709,10.53333333
9.444444444,1014.7,0.83,6.5366,8.705555556
9.888888889,1014.64,0.83,6.0858,9.327777778
10.36666667,1014.31,0.78,10.7065,10.36666667
8.888888889,1014.63,0.89,10.4972,7.233333333
9.977777778,1014.82,0.84,8.0017,8.994444444
12.2,1014.82,0.73,2.4633,12.2
13.96111111,1015,0.67,9.3058,13.96111111
14.94444444,1014.9,0.67,7.1645,14.94444444
16.18333333,1014.35,0.71,11.753,16.18333333
16.36666667,1014.51,0.61,7.1323,16.36666667
17.37222222,1014.32,0.57,3.6225,17.37222222
17.67222222,1013.93,0.51,1.7549,17.67222222
17.72222222,1013.45,0.53,8.6779,17.72222222
16.23888889,1013.43,0.61,2.8336,16.23888889
14.06666667,1013.58,0.71,9.2414,14.06666667
13.95555556,1013.24,0.76,7.4221,13.95555556
12.28888889,1013.7,0.8,3.542,12.28888889
10.02222222,1014.14,0.86,3.1073,10.02222222
9.377777778,1014.34,0.86,6.44,8.65
9.416666667,1014.6,0.9,4.6046,9.416666667
11.82777778,1011.68,0.92,3.0268,11.82777778
10.76111111,1011.98,0.91,5.1681,10.76111111
12.15555556,1015.64,0.95,2.8497,12.15555556
9.672222222,1012.26,0.94,5.7155,9.188888889
8.15,1012.63,0.94,6.762,7.15
10.2,1012.62,0.95,5.6189,10.2
10.11666667,1012.85,0.99,2.254,10.11666667
10.16111111,1013.61,0.99,0.3381,10.16111111
11.24444444,1013.9,0.98,2.7531,11.24444444
12.24444444,1014.31,0.99,2.254,12.24444444
13.91111111,1014.43,0.92,8.0983,13.91111111
15.61666667,1014.73,0.82,2.2862,15.61666667
15.07222222,1014.92,0.86,3.2844,15.07222222
15.07222222,1014.73,0.82,7.5992,15.07222222
14.26666667,1014.92,0.87,10.5616,14.26666667
16.01666667,1014.76,0.81,6.6654,16.01666667
15.02777778,1014.37,0.86,7.7119,15.02777778
13.94444444,1014.83,0.89,7.2772,13.94444444
12.91666667,1015.11,0.95,11.4793,12.91666667
12.89444444,1015.14,0.95,5.2808,12.89444444
12.4,1015.5,0.98,2.3506,12.4
12.26666667,1015.76,0.99,8.05,12.26666667
12.22222222,1016.35,0.96,6.1985,12.22222222
11.25,1016.38,0.96,2.7692,11.25
11.52777778,1016.43,0.96,3.1556,11.52777778
11.53888889,1016.56,0.96,5.9892,11.53888889
9.438888889,1017.23,0.96,5.9731,8.85
11.43888889,1016.17,0.96,6.279,11.43888889
11.39444444,1016.25,0.96,6.44,11.39444444
11.52777778,1016.13,0.96,6.4239,11.52777778
11.95,1016.17,0.93,4.83,11.95
11.97222222,1016.45,1,9.66,11.97222222
12.63333333,1016.94,0.96,7.6636,12.63333333
12.75555556,1017.06,0.96,7.9695,12.75555556
13.84444444,1017.45,0.9,7.9212,13.84444444
13.17222222,1017.77,0.94,10.3845,13.17222222
15.06666667,1017.73,0.86,8.1466,15.06666667
17.24444444,1017.53,0.75,7.1645,17.24444444
16.31666667,1017.31,0.76,13.3469,16.31666667
17.38333333,1016.82,0.74,13.6206,17.38333333
15.27222222,1016.6,0.76,8.2754,15.27222222
17.45555556,1016.39,0.72,5.2808,17.45555556
16.22222222,1016.33,0.77,11.1573,16.22222222
15.08333333,1016.52,0.82,3.6869,15.08333333
13.99444444,1016.81,0.88,1.1431,13.99444444
12.17222222,1017.34,0.92,0.6601,12.17222222
11.08888889,1017.54,0.95,4.8461,11.08888889
11.09444444,1017.43,0.95,3.381,11.09444444
9.883333333,1017.65,0.96,3.3649,9.883333333
9.355555556,1017.56,0.96,6.4239,8.633333333
9.861111111,1016.16,0.96,3.2361,9.861111111
8.272222222,1017.16,0.99,3.3166,8.272222222
8.866666667,1017.15,0.96,2.6243,8.866666667
8.816666667,1017.28,0.96,3.9445,8.816666667
7.155555556,1017.15,1,1.8515,7.155555556
8.85,1017.36,0.99,3.4776,8.85
11.17777778,1017.7,0.93,2.8819,11.17777778
12.38888889,1017.72,0.98,3.4293,12.38888889
14.14444444,1017.82,0.88,4.8783,14.14444444
17.1,1017.77,0.72,3.059,17.1
18.93888889,1017.3,0.64,4.2021,18.93888889
17.91666667,1016.9,0.68,4.0894,17.91666667
19.98333333,1016.4,0.53,1.2236,19.98333333
20.07222222,1015.9,0.62,9.0643,20.07222222
20.07222222,1015.29,0.56,9.4829,20.07222222
20.08333333,1014.9,0.58,7.4865,20.08333333
19.08888889,1014.68,0.63,9.1287,19.08888889
17.45,1014.78,0.62,7.567,17.45
15.56666667,1015.04,0.74,0.5152,15.56666667
12.49444444,1015.51,0.91,3.9445,12.49444444
12.24444444,1015.72,0.89,1.5295,12.24444444
11.41666667,1015.79,0.92,2.9624,11.41666667
10.55555556,1015.83,0.95,6.0375,10.55555556
10.46666667,1015.95,0.93,3.0751,10.46666667
10.25,1017.13,0.95,5.2969,10.25
9.355555556,1015.82,0.96,1.5295,9.355555556
8.311111111,1015.82,0.96,3.22,8.311111111
8.811111111,1015.89,0.96,3.3971,8.811111111
8.733333333,1015.83,0.93,6.3434,7.933333333
11.93333333,1016.12,0.93,11.27,11.93333333
14.51666667,1016.23,0.84,1.7066,14.51666667
18.73333333,1016.23,0.68,3.22,18.73333333
20.02777778,1016.38,0.6,7.245,20.02777778
21.03888889,1016.66,0.55,6.4883,21.03888889
20.73888889,1016.58,0.46,6.5044,20.73888889
22.31666667,1016.27,0.48,7.5348,22.31666667
22.11111111,1015.96,0.5,6.4561,22.11111111
22.73333333,1015.34,0.38,1.0143,22.73333333
22.77777778,1014.7,0.37,5.1842,22.77777778
21.21666667,1015.2,0.41,7.2772,21.21666667
20.18333333,1014.87,0.45,1.4812,20.18333333
18.01111111,1014.78,0.68,0.322,18.01111111
17.42222222,1015.54,0.65,0.5313,17.42222222
13.96111111,1016.01,0.82,0,13.96111111
13.28888889,1016.52,0.89,2.8819,13.28888889
12.32222222,1016.96,0.89,2.4794,12.32222222
11.11666667,1017.04,0.95,3.1717,11.11666667
10.53333333,1017.33,0.95,11.27,10.53333333
12.38333333,1019.59,0.8,4.6207,12.38333333
9.861111111,1017.25,0.96,3.0751,9.861111111
8.872222222,1017.42,0.95,1.5295,8.872222222
8.672222222,1017.74,0.94,3.6386,8.672222222
7.688888889,1018.13,1,0,7.688888889
10.91111111,1018.62,0.99,1.61,10.91111111
14.83888889,1019.08,0.82,2.6565,14.83888889
18.8,1019.11,0.65,1.5295,18.8
21.09444444,1019.5,0.49,4.8783,21.09444444
22.02777778,1019.86,0.49,4.2826,22.02777778
22.82777778,1019.79,0.47,3.6225,22.82777778
22.91666667,1019.47,0.37,4.5563,22.91666667
23.91666667,1019.25,0.37,6.2951,23.91666667
23.91111111,1018.89,0.4,2.5599,23.91111111
23.93333333,1018.6,0.37,4.347,23.93333333
23.91666667,1018.67,0.32,1.1753,23.91666667
22.82222222,1018.59,0.44,3.1234,22.82222222
21.22777778,1018.67,0.48,0.4025,21.22777778
19.07777778,1019.22,0.51,2.6887,19.07777778
17.06111111,1019.88,0.63,1.5778,17.06111111
14.90555556,1019.91,0.72,3.7513,14.90555556
13.08333333,1020.02,0.87,3.4132,13.08333333
12.71111111,1020.11,0.89,3.2522,12.71111111
12.12777778,1020.12,0.89,3.1717,12.12777778
11.81111111,1018.38,0.84,4.991,11.81111111
12.01666667,1019.91,0.8,6.2629,12.01666667
12.04444444,1020.03,0.8,6.4239,12.04444444
10.62777778,1020.39,0.86,9.7083,10.62777778
9.911111111,1020.6,0.99,9.1448,8.688888889
12.55555556,1020.81,0.9,7.7441,12.55555556
15.00555556,1021.01,0.78,8.7584,15.00555556
17.33888889,1020.94,0.74,12.1877,17.33888889
19.1,1020.66,0.67,12.6224,19.1
21.26111111,1020.53,0.57,9.9176,21.26111111
22.41111111,1020.16,0.54,11.4471,22.41111111
22.93888889,1019.95,0.5,8.5491,22.93888889
23.92777778,1019.43,0.47,11.3022,23.92777778
23.96111111,1018.97,0.47,8.3076,23.96111111
23.96111111,1018.28,0.38,8.5813,23.96111111
23.11111111,1017.97,0.42,10.7065,23.11111111
22.82222222,1017.68,0.44,12.4936,22.82222222
21.11111111,1017.89,0.47,5.2164,21.11111111
18.18888889,1017.96,0.58,4.8622,18.18888889
16.01666667,1018.31,0.72,4.6046,16.01666667
15.46666667,1018.6,0.72,6.44,15.46666667
14.60555556,1018.65,0.76,6.7459,14.60555556
13.31111111,1018.44,0.82,3.542,13.31111111
12.73333333,1018.23,0.83,3.0751,12.73333333
13.78888889,1014.58,0.77,6.0858,13.78888889
10.57777778,1018.11,0.88,6.44,10.57777778
10.48333333,1017.73,0.92,3.22,10.48333333
10.28888889,1017.7,0.91,3.7513,10.28888889
9.972222222,1017.62,0.92,1.5617,9.972222222
13.63888889,1017.54,0.9,2.7048,13.63888889
16.73888889,1017.7,0.74,7.245,16.73888889
18.83888889,1017.78,0.65,3.4132,18.83888889
21.16111111,1017.3,0.59,4.6046,21.16111111
22.58888889,1017.19,0.53,4.4275,22.58888889
22.89444444,1016.68,0.48,7.6636,22.89444444
24.00555556,1016.08,0.47,9.66,24.00555556
24.00555556,1015.62,0.35,8.0017,24.00555556
23.97777778,1014.86,0.44,9.2897,23.97777778
25.04444444,1013.97,0.32,3.5903,25.04444444
24.07777778,1013.39,0.35,4.9588,24.07777778
22.38333333,1013.18,0.45,9.4829,22.38333333
21.20555556,1013.21,0.52,3.6869,21.20555556
18.26111111,1013.75,0.62,6.2146,18.26111111
17.2,1014.13,0.67,14.49,17.2
15.99444444,1014.13,0.75,3.1073,15.99444444
15.96111111,1014.06,0.79,12.2843,15.96111111
15.44444444,1013.92,0.72,13.846,15.44444444
14.37222222,1013.82,0.75,10.9963,14.37222222
13.60555556,1012.67,0.9,9.982,13.60555556
12.82222222,1013.04,0.82,6.2468,12.82222222
12.75,1013.03,0.83,3.3488,12.75
11.41666667,1012.98,0.92,6.2307,11.41666667
12.33333333,1012.83,0.86,2.4633,12.33333333
14.90555556,1013.03,0.78,10.2879,14.90555556
15.89444444,1013.13,0.74,10.2879,15.89444444
17.22777778,1013.13,0.72,12.0589,17.22777778
17.82777778,1013.1,0.73,7.4704,17.82777778
17.91666667,1013.17,0.72,10.0947,17.91666667
19.05555556,1013,0.67,9.0965,19.05555556
20.14444444,1012.69,0.67,7.5187,20.14444444
20.26111111,1012.54,0.62,3.8962,20.26111111
21.20555556,1011.87,0.62,4.6368,21.20555556
21.25555556,1011.19,0.67,4.8944,21.25555556
20.23333333,1011.17,0.66,7.2128,20.23333333
19.07777778,1011.08,0.71,7.6475,19.07777778
17.94444444,1011.28,0.77,10.5777,17.94444444
15.49444444,1012.08,0.82,20.608,15.49444444
14.14444444,1012.64,0.89,8.4364,14.14444444
14.53888889,1012.79,0.86,11.0768,14.53888889
14.13888889,1012.79,0.86,3.6708,14.13888889
13.4,1012.56,0.9,3.5098,13.4
13.42777778,1012.8,0.9,3.3488,13.42777778
11.58888889,1009.9,0.74,5.474,11.58888889
14.42222222,1011.91,0.83,10.7709,14.42222222
13.91666667,1011.72,0.86,10.6904,13.91666667
13.4,1011.51,0.9,10.3201,13.4
13.86666667,1011.51,0.9,7.9373,13.86666667
14.90555556,1011.6,0.84,11.27,14.90555556
15.93333333,1011.59,0.74,10.6743,15.93333333
17.12777778,1011.41,0.65,19.8996,17.12777778
18.75,1011.2,0.58,19.4166,18.75
18.96111111,1011.25,0.6,17.0499,18.96111111
19.99444444,1010.98,0.54,16.8728,19.99444444
21.11111111,1010.48,0.5,17.3397,21.11111111
21.09444444,1010.24,0.46,21.9604,21.09444444
21.17777778,1009.55,0.43,19.8191,21.17777778
21.22777778,1009.04,0.41,16.4703,21.22777778
20.1,1008.55,0.45,13.7977,20.1
19.02777778,1008.17,0.51,9.7888,19.02777778
17.85,1008.46,0.59,14.0553,17.85
16.26111111,1008.94,0.66,11.2861,16.26111111
14.98333333,1009.55,0.72,13.9426,14.98333333
14.46666667,1009.57,0.65,11.0285,14.46666667
13.94444444,1009.53,0.6,10.8031,13.94444444
12.31666667,1009.56,0.65,11.1734,12.31666667
11.76111111,1009.47,0.66,10.8997,11.76111111
10.82777778,1011.18,0.62,13.1859,10.82777778
10.13888889,1009.25,0.73,10.948,10.13888889
10.62777778,1008.87,0.71,11.109,10.62777778
10.60555556,1008.82,0.69,13.524,10.60555556
10.07222222,1008.84,0.71,15.5848,10.07222222
11.16111111,1009.07,0.71,21.5257,11.16111111
12.88888889,1009.23,0.67,22.9586,12.88888889
15.05,1009.25,0.6,26.4845,15.05
15.16111111,1009.44,0.59,26.726,15.16111111
16.27222222,1009.76,0.56,23.3611,16.27222222
17.8,1009.34,0.46,28.0623,17.8
17.93888889,1009.14,0.46,27.9013,17.93888889
18.85555556,1009.01,0.41,25.7439,18.85555556
17.98888889,1008.83,0.43,26.3557,17.98888889
17.96111111,1008.43,0.51,25.0516,17.96111111
17.36111111,1008.7,0.47,25.5668,17.36111111
16.25,1009.03,0.52,23.3289,16.25
14.12222222,1009.42,0.47,20.0284,14.12222222
12.95,1010.18,0.55,14.9569,12.95
12.24444444,1010.85,0.52,22.9425,12.24444444
11.68888889,1011.08,0.57,19.6581,11.68888889
11.15555556,1011.22,0.59,20.7368,11.15555556
9.216666667,1014.24,0.9,5.8443,8.627777778
8.683333333,1014.73,0.9,5.2486,8.2
9.188888889,1013.46,0.77,12.3165,7.3
8.594444444,1014.81,0.93,6.2951,7.788888889
7.505555556,1014.35,0.93,1.8515,7.505555556
6.216666667,1014.42,0.95,9.6761,4.194444444
5.855555556,1014.35,0.93,0.4347,5.855555556
5.933333333,1014.55,1,0.1449,5.933333333
10.40555556,1014.91,1,0.7245,10.40555556
12.54444444,1014.44,0.78,7.2611,12.54444444
13.86111111,1014.52,0.77,3.8801,13.86111111
15.97777778,1014.75,0.63,4.669,15.97777778
17.26666667,1014.41,0.57,5.474,17.26666667
17.84444444,1014.02,0.5,2.6726,17.84444444
16.42777778,1013.55,0.54,3.9928,16.42777778
17.77777778,1013.02,0.46,1.6744,17.77777778
17.84444444,1011.95,0.45,4.4275,17.84444444
17.3,1012.11,0.5,5.6672,17.3
15.18333333,1012.13,0.65,12.7351,15.18333333
13.00555556,1012.52,0.7,3.7191,13.00555556
12.69444444,1013.08,0.74,7.9373,12.69444444
